id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
69,Embrace of Silence,Yiruma,ambient,melancholic,0.02,67,0.15,0.42,1.0
70,Christmas Is Coming (Remastered 2014),Traditional;Richard Benson and His Orchestra,ambient,melancholic,0.22,120,0.12,0.39,0.9
71,Sleep Sounds (Serenity White Noise),White Noise Nature Sounds Baby Sleep,ambient,melancholic,0.2,63,0.04,0.21,0.94
72,Winter Waltz - 2020 Version,Jim Brickman,ambient,melancholic,0.09,115,0.2,0.43,0.99
73,Dismantle,Peter Sandberg,ambient,chill,0.14,100,0.4,0.4,0.98
74,Weißes Rauschen: Baby Schlafhelfer,Weißes Rauschen HD,ambient,melancholic,0.0,92,0.0,0.21,0.92
75,Slowlife,Novo Amor,ambient,melancholic,0.12,119,0.04,0.41,0.94
76,Motherless Child (Live),Traditional;Michelle Mayne-Graves,ambient,melancholic,0.04,84,0.21,0.31,0.97
77,Fleur,Little Symphony,ambient,chill,0.43,59,0.64,0.2,0.63
78,Soffia la notte,Fabrizio Paterlini;Johannes Bornlöf,ambient,sad,0.12,160,0.28,0.23,0.97
79,Resta Con Me,Ludovico Einaudi;Marco Decimo,ambient,melancholic,0.03,136,0.05,0.33,0.96
80,Weißes Rauschen: Baby Schlafhilfe,Weißes Rauschen HD,ambient,melancholic,0.0,168,0.0,0.08,0.12
81,Rising Sun,White Noise for Babies,ambient,melancholic,0.0,141,0.03,0.14,0.97
82,The Holly And The Ivy,Traditional;The Choir Of Westminster Abbey;Simon Preston,ambient,melancholic,0.1,92,0.08,0.25,0.99
83,"Heptapod B - From ""Arrival"" Soundtrack",Jóhann Jóhannsson;Joan La Barbara,ambient,sad,0.45,125,0.05,0.56,0.78
84,"10,000 Hours (Instrumental Version)",Laura Sullivan,ambient,sad,0.19,85,0.28,0.4,0.99
85,Battles - Remastered 2003,Clannad,ambient,melancholic,0.23,107,0.1,0.57,0.6
86,The Other Side,Mike Rowland,ambient,melancholic,0.17,82,0.12,0.17,0.9
87,Hankering,Hector Warrens,ambient,melancholic,0.03,65,0.04,0.13,0.86
88,Making Gardens Out of Silence,Brian Eno,ambient,melancholic,0.1,79,0.03,0.08,0.94
89,Prism Of Life,Enigma,ambient,sad,0.4,113,0.14,0.5,0.77
90,Lido,Bicep,ambient,melancholic,0.34,119,0.17,0.65,0.97
91,"Tubular Bells - Opening Theme / From ""The Exorcist""",Mike Oldfield,ambient,chill,0.27,147,0.39,0.33,0.8
92,Summer's Child - Remastered,David Lanz,ambient,sad,0.31,91,0.27,0.58,0.66
93,Rain and Thunder,Thunder Storm,ambient,angry,1.0,81,0.0,0.17,0.09
94,Theme from Harry's Game,Clannad,ambient,sad,0.49,80,0.17,0.41,0.72
95,You Are Good,Bethel Music;Brian Johnson,ambient,confident,0.84,144,0.35,0.4,0.0
96,Nocturnal Mind,Yiruma,ambient,melancholic,0.13,85,0.07,0.34,0.99
97,Running Shower,Tmsoft’s White Noise Sleep Sounds,ambient,angry,1.0,171,0.0,0.08,0.78
98,Sleep NREM Stage 2,Paul Cardall,ambient,melancholic,0.06,68,0.04,0.11,0.83
99,Serenity,Dan Gibson's Solitudes,ambient,melancholic,0.16,112,0.09,0.3,0.98
100,Loom (feat. Bonobo),Ólafur Arnalds;Bonobo,ambient,sad,0.18,156,0.31,0.55,0.99
101,Pause,Serene & Pax,ambient,melancholic,0.01,71,0.04,0.16,0.95
102,Por Siempre (Live),Bethel Music;kalley,ambient,moody,0.7,138,0.12,0.34,0.0
103,Sol,Solar Fields,ambient,sad,0.37,144,0.04,0.52,0.01
104,Angels Calling Me (Segue),Denean,ambient,melancholic,0.22,81,0.17,0.12,0.79
105,Flame and Circle,Tim Story,ambient,melancholic,0.08,73,0.04,0.07,0.98
106,Tornado Rain Storm,Nature Sounds;Rain Sounds Lab;Rain,ambient,angry,0.96,70,0.0,0.19,0.09
107,Full Apple Tree,Dean Evenson;Li Xiangting;Phil Heaven,ambient,melancholic,0.1,77,0.09,0.17,0.98
108,One For Vulnerability,Project AER;v i v,ambient,melancholic,0.2,121,0.1,0.63,0.96
109,More Than Anything,Desolate Horizons,ambient,melancholic,0.21,82,0.03,0.12,0.99
110,Pink Noise Meditation,Pink Noise,ambient,melancholic,0.13,126,0.14,0.23,0.86
111,Never Too Late,Yanni,ambient,happy,0.78,94,0.71,0.54,0.22
112,I Still Believe,Bethel Music;Brian Johnson,ambient,sad,0.25,148,0.25,0.41,0.78
113,DUALQ,Gustavo Santaolalla;Otnicka,ambient,moody,0.66,169,0.1,0.49,0.2
114,Pacific,Savannah De Lucia,ambient,melancholic,0.03,70,0.06,0.21,0.91
115,Why!...,Enigma,ambient,moody,0.64,81,0.3,0.58,0.21
116,Kritagya,Elise Ryen,ambient,melancholic,0.01,73,0.16,0.16,0.94
117,Ancient Harbor,Michael Maxwell,ambient,chill,0.41,95,0.36,0.12,0.78
118,Dayvan Cowboy,Boards of Canada,ambient,moody,0.61,167,0.04,0.32,0.51
119,Prelude (My LIttle Girl),Jon Schmidt,ambient,melancholic,0.19,124,0.13,0.28,0.98
120,"God Rest Ye Merry, Gentlemen (Remastered 2014)",Traditional;Royal Philharmonic Orchestra,ambient,sad,0.41,143,0.24,0.26,0.85
121,Morning Light,Dan Gibson's Solitudes,ambient,melancholic,0.14,100,0.18,0.22,0.85
122,"Ketchum, ID",Julien Baker;Phoebe Bridgers;Lucy Dacus,ambient,melancholic,0.1,117,0.21,0.39,0.91
123,Rain on a Car Roof,Rain Sounds,ambient,angry,1.0,90,0.01,0.34,0.38
124,they sink,Ólafur Arnalds,ambient,melancholic,0.06,110,0.13,0.43,0.99
125,Anchor,Novo Amor,ambient,sad,0.41,117,0.13,0.46,0.81
126,In Their Gentle Presence,Dan Gibson's Solitudes,ambient,melancholic,0.14,120,0.06,0.32,0.98
127,Kalga,aswekeepsearching,ambient,sad,0.37,125,0.05,0.47,0.8
128,Deep,Peter Sandberg,ambient,melancholic,0.07,48,0.04,0.21,0.9
129,God of Revival - Live,Bethel Music;Brian Johnson;Jenn Johnson,ambient,moody,0.61,144,0.21,0.36,0.07
130,Life,Ludovico Einaudi;Daniel Hope;I Virtuosi Italiani,ambient,melancholic,0.27,93,0.05,0.33,0.93
131,Gentle Rain on Pavement,The Rain Library;Loopable Rain Sounds,ambient,angry,0.87,85,0.03,0.26,0.0
132,"Where the Waters Meet (O Waly, Waly) [Arr. C.B. Chambers for Wind Symphony] [Live]",Traditional;Mansfield Wind Symphony;Jeff King,ambient,melancholic,0.16,78,0.06,0.07,0.96
133,Sea Change,Stephan Moccio,ambient,melancholic,0.01,118,0.09,0.46,0.99
134,The Beckoning Sea,Michael Maxwell,ambient,chill,0.41,111,0.41,0.17,0.84
135,Virgin,Flower Face,ambient,sad,0.47,140,0.09,0.46,0.67
136,Almost Idyllic,Sleeping At Last,ambient,melancholic,0.11,77,0.11,0.24,0.98
137,The Cross Of Changes,Enigma,ambient,melancholic,0.14,116,0.12,0.18,0.57
138,The Big Ship - 2004 Digital Remaster,Brian Eno,ambient,melancholic,0.26,117,0.05,0.38,0.13
139,Sleep On,Hayley Westenra;Catrin Finch,ambient,melancholic,0.16,109,0.17,0.29,0.87
140,Baby Shhhusher,White Noise Baby Sleep,ambient,melancholic,0.03,75,0.09,0.21,0.0
141,Sun Soothes the Soul,Dan Gibson's Solitudes,ambient,melancholic,0.07,77,0.1,0.13,0.95
142,Espana,Patrick O'Hearn,ambient,melancholic,0.04,100,0.04,0.36,0.89
143,Dancing Blossoms (Sidereal Remix),Elea;Bahramji,ambient,moody,0.64,180,0.15,0.58,0.2
144,Wayward Sisters,Abel Korzeniowski,ambient,sad,0.44,97,0.06,0.28,0.7
145,"Recomposed By Max Richter: Vivaldi, The Four Seasons: Winter 2 - 2012",Max Richter;Daniel Hope;Konzerthaus Kammerorchester Berlin;Andre de Ridder,ambient,melancholic,0.06,140,0.08,0.17,0.9
146,Gelion,Little Symphony,ambient,melancholic,0.21,118,0.18,0.2,0.74
147,Fata Morgana,Enigma,ambient,sad,0.38,183,0.24,0.52,0.29
148,Rain Sounds,Rain Sounds,ambient,melancholic,0.02,111,0.12,0.16,0.93
149,Longing,Gustavo Santaolalla,ambient,melancholic,0.02,92,0.04,0.45,0.94
150,Spirit of Water,Dean Evenson,ambient,melancholic,0.21,70,0.11,0.16,0.97
151,Einfach mal Durchatmen,Meeresrauschen;Naturgeräusche für Entspannung und Erholung;Naturgeräusche,ambient,moody,0.66,61,0.0,0.17,0.76
152,Becalming,Rebecka Aether,ambient,melancholic,0.02,135,0.05,0.16,0.99
153,Simple Things,Karen Marie Garrett,ambient,sad,0.07,160,0.32,0.41,0.99
154,"Comptine d'un autre été: l'Après-midi (from ""Amélie"")",Jacob's Piano,ambient,melancholic,0.08,98,0.12,0.48,0.99
155,Always You,Flower Face,ambient,melancholic,0.18,120,0.12,0.57,0.94
156,Rain Meditation,Rain Sounds,ambient,angry,0.99,126,0.0,0.16,0.26
157,Nocturne,Secret Garden,ambient,melancholic,0.3,79,0.15,0.22,0.94
158,Seaside Soothe,Avslappning Sound,ambient,sad,0.36,124,0.03,0.17,0.89
159,Boulettes,Arno,blues,happy,0.66,92,0.74,0.75,0.07
160,Stars Fell On Alabama,Ella Fitzgerald;Louis Armstrong,blues,melancholic,0.14,169,0.18,0.33,0.95
161,Simply Irresistible,Robert Palmer,blues,confident,0.93,142,0.7,0.65,0.13
162,Run Rudolph Run,Chuck Berry,blues,euphoric,0.88,151,0.95,0.65,0.88
163,Beki Miri,Amadou & Mariam,blues,happy,0.68,173,0.7,0.6,0.2
164,No Rain,Blind Melon,blues,chill,0.57,73,0.56,0.36,0.67
165,Simple Life,Lynyrd Skynyrd,blues,confident,0.89,111,0.51,0.55,0.01
166,Frosty The Snowman,Ella Fitzgerald,blues,relaxed,0.5,76,0.84,0.58,0.73
167,Christmas Comes But Once A Year,Albert King,blues,chill,0.49,93,0.62,0.69,0.32
168,Funk #49,James Gang,blues,confident,0.94,91,0.72,0.65,0.04
169,Me tienes loco,El Cruce,blues,happy,0.77,93,0.8,0.44,0.43
170,Party at Home,Jaye Hammer;Till Palmer,blues,relaxed,0.57,179,0.79,0.68,0.13
171,Boom Boom,John Lee Hooker,blues,relaxed,0.4,155,0.85,0.65,0.27
172,Howlin' for You,The Black Keys,blues,focused,0.75,132,0.38,0.72,0.03
173,Dear Mr. Fantasy,Traffic,blues,happy,0.61,166,0.77,0.24,0.17
174,Since You Been Gone,Rainbow,blues,happy,0.73,120,0.92,0.73,0.38
175,Meth Lab Zoso Sticker,7Horse,blues,confident,0.95,79,0.46,0.39,0.14
176,Used to the Darkness,Des Rocs,blues,focused,0.75,106,0.47,0.67,0.18
177,Sleigh Ride,Ella Fitzgerald,blues,chill,0.29,77,0.64,0.59,0.76
178,Legends Are Made,Sam Tinnesz,blues,confident,0.89,87,0.67,0.55,0.12
179,Casa,Bernard Adamus,blues,happy,0.63,102,0.82,0.76,0.53
180,Theme For An Imaginary Western,Jack Bruce,blues,chill,0.58,141,0.56,0.4,0.78
181,Watch Me,The Phantoms,blues,focused,0.61,79,0.5,0.56,0.06
182,For Better or Worse,Sir Charles Jones,blues,chill,0.49,115,0.68,0.83,0.44
183,You Do You,Zayde Wølf,blues,happy,0.8,120,0.78,0.75,0.08
184,Stormy Weather,Etta James,blues,chill,0.35,177,0.45,0.26,0.72
185,Little Bitty Pretty One,Bobby Day,blues,relaxed,0.47,85,0.94,0.8,0.79
186,Rudolph The Red-Nosed Reindeer,Ella Fitzgerald,blues,chill,0.32,119,0.64,0.6,0.96
187,Wicked Ones,Dorothy,blues,focused,0.64,96,0.59,0.59,0.04
188,Battle of Evermore,Blind Faith,blues,chill,0.42,145,0.37,0.53,0.57
189,Let It Snow! Let It Snow! Let It Snow!,Ella Fitzgerald,blues,relaxed,0.41,77,0.87,0.57,0.84
190,Head In The Clouds,Jesper Munk,blues,chill,0.38,77,0.46,0.59,0.86
191,Nights In White Satin - Single Version / Mono,The Moody Blues,blues,sad,0.48,84,0.17,0.2,0.47
192,Hit the Road Jack,Ray Charles,blues,relaxed,0.57,173,0.96,0.6,0.7
193,Centerfold,The J. Geils Band,blues,happy,0.68,114,0.89,0.65,0.25
194,Cry to Me,Solomon Burke,blues,happy,0.62,114,0.91,0.73,0.62
195,Horns,Bryce Fox,blues,moody,0.75,156,0.33,0.49,0.08
196,Anyone Who Knows What Love Is (Will Understand),Irma Thomas,blues,melancholic,0.28,92,0.21,0.59,0.84
197,Why Me?,Reggie P,blues,happy,0.67,113,0.65,0.85,0.06
198,Paradise,Taj Mahal,blues,relaxed,0.41,79,0.86,0.65,0.57
199,Still Learning 'Bout Love,Wendell B;C.J.;Jason Little;Magic One,blues,sad,0.48,102,0.23,0.42,0.29
200,Everybody Needs Somebody to Love,Solomon Burke,blues,relaxed,0.51,76,0.87,0.66,0.19
201,Back Round,Wolfmother,blues,intense,0.93,154,0.32,0.36,0.0
202,Baby (You've Got What It Takes),Dinah Washington;Brook Benton,blues,happy,0.67,132,0.77,0.68,0.83
203,If You Dont Want Me,T.K. Soul,blues,relaxed,0.53,157,0.79,0.73,0.02
204,Call Me The Breeze,J.J. Cale,blues,relaxed,0.42,91,0.84,0.81,0.75
205,Gold on the Ceiling,The Black Keys,blues,confident,0.83,130,0.56,0.51,0.01
206,In The Army Now,Status Quo,blues,happy,0.72,104,0.9,0.69,0.1
207,Heat Above,Greta Van Fleet,blues,intense,0.85,139,0.23,0.34,0.01
208,Here I Go Again 87 - 2018 Remaster,Whitesnake,blues,intense,0.82,89,0.25,0.37,0.01
209,The Weight - Remastered 2000,The Band,blues,chill,0.55,143,0.52,0.63,0.37
210,Perfect Strangers,Deep Purple,blues,focused,0.72,97,0.61,0.52,0.0
211,Try Me,T.K. Soul,blues,happy,0.62,83,0.72,0.65,0.12
212,Bądź moim natchnieniem,Andrzej Zaucha,blues,chill,0.55,127,0.69,0.54,0.54
213,Tylko ja i ty - 2003 Remaster,Dzem,blues,melancholic,0.23,136,0.07,0.46,0.15
214,Winter Wonderland,Ella Fitzgerald,blues,chill,0.34,116,0.66,0.5,0.92
215,Nggak Perlu,Slank,blues,chill,0.47,142,0.4,0.4,0.01
216,Can't Stop Me Now,Oh The Larceny,blues,focused,0.75,89,0.54,0.64,0.03
217,Hell Yeah,Rev Theory,blues,confident,0.98,167,0.4,0.35,0.0
218,Rockin' All Over The World,Status Quo,blues,euphoric,0.93,131,0.97,0.63,0.24
219,When A Blind Man Cries - Remastered,Deep Purple,blues,melancholic,0.27,64,0.22,0.52,0.84
220,Magnolia,Eric Clapton;John Mayer,blues,chill,0.25,73,0.4,0.59,0.66
221,When You're Smiling/The Sheik Of Araby,Louis Prima;Sam Butera & The Witnesses;Keely Smith,blues,happy,0.69,117,0.8,0.6,0.19
222,Mississippi Queen,Mountain,blues,focused,0.62,139,0.64,0.58,0.1
223,Figure It Out,Royal Blood,blues,confident,0.82,107,0.65,0.66,0.26
224,Light That Fire,Oh The Larceny,blues,happy,0.79,115,0.82,0.74,0.01
225,Highway Tune,Greta Van Fleet,blues,confident,0.96,123,0.51,0.58,0.01
226,My Baby Just Cares For Me - 2009 Remaster,Nina Simone,blues,chill,0.29,118,0.53,0.78,0.83
227,Tonk Kosong,Slank,blues,relaxed,0.44,110,0.87,0.72,0.29
228,La question à 100 piasses,Bernard Adamus,blues,confident,0.81,97,0.66,0.65,0.33
229,You Got to Roll It Slow (Remix),The Love Doctor,blues,chill,0.48,81,0.65,0.89,0.04
230,Baby,Jesper Munk,blues,chill,0.45,86,0.57,0.68,0.78
231,Face Down In The Moment,Nathaniel Rateliff & The Night Sweats,blues,chill,0.59,151,0.36,0.52,0.35
232,Christmas Must Be Tonight - Remastered 2001,The Band,blues,happy,0.67,128,0.77,0.67,0.05
233,Fool for Your Loving,Whitesnake,blues,confident,0.91,122,0.75,0.59,0.0
234,Bad Man,Esterly;Austin Jenckes,blues,sad,0.54,81,0.3,0.4,0.09
235,While My Guitar Gently Weeps,The Jeff Healey Band,blues,focused,0.67,134,0.62,0.43,0.0
236,You Never Can Tell - 1964 Single Version,Chuck Berry,blues,euphoric,0.85,157,0.93,0.57,0.74
237,What a Fool Believes,The Doobie Brothers,blues,happy,0.62,120,0.98,0.65,0.28
238,Galvanizado,La Mississippi,blues,happy,0.77,128,0.97,0.79,0.64
239,Oblivion,Royal Blood,blues,happy,0.82,112,0.83,0.64,0.0
240,How Can You Mend a Broken Heart,Al Green,blues,chill,0.42,146,0.37,0.45,0.51
241,Gemerlap Kota,Slank,blues,sad,0.37,127,0.29,0.46,0.49
242,Love Is Blindness,Jack White,blues,focused,0.74,48,0.5,0.27,0.05
243,Spiderhead,Cage The Elephant,blues,confident,0.95,117,0.55,0.54,0.01
244,Friend of the Devil,Adam Jensen,blues,focused,0.78,77,0.42,0.7,0.01
245,Seven Nation Army,The White Stripes,blues,sad,0.45,123,0.28,0.74,0.0
246,"Up Where We Belong - From ""An Officer And A Gentleman""",Joe Cocker;Jennifer Warnes,blues,melancholic,0.31,139,0.23,0.62,0.63
247,Born To Be Wild,Steppenwolf,blues,focused,0.71,145,0.53,0.44,0.26
248,Seperti Babi,The Panasdalam,blues,chill,0.38,128,0.38,0.64,0.63
249,Poor Heart,Ina Forsman,blues,chill,0.53,159,0.55,0.44,0.06
250,I'm Going Down Slow,Sir Charles Jones;Wendell B,blues,chill,0.54,170,0.39,0.36,0.28
251,Delta Lady,Joe Cocker,blues,happy,0.66,135,0.77,0.46,0.39
252,Little Wing,Stevie Ray Vaughan,blues,chill,0.38,114,0.52,0.47,0.36
253,Layla,Derek & The Dominos,blues,confident,0.9,115,0.5,0.4,0.58
254,You Go To My Head,Billie Holiday,blues,melancholic,0.1,67,0.21,0.55,0.99
255,Can You Hear Me,UNSECRET;Young Summer,blues,sad,0.57,139,0.15,0.43,0.21
256,Jingle Bells,Ella Fitzgerald,blues,happy,0.73,119,0.88,0.7,0.57
257,Blueberry Hill,Fats Domino,blues,relaxed,0.5,133,0.83,0.49,0.74
258,Keeper,Reignwolf,blues,intense,0.84,133,0.23,0.28,0.05
259,"Vespri Siciliani - Mercé, dilette amiche",Giuseppe Verdi;Vincenzo Ciliberti,classical,chill,0.48,125,0.55,0.34,0.95
260,"Verdi: Aida, Act 2: Ballabile",Giuseppe Verdi;Riccardo Muti;New Philharmonia Orchestra,classical,chill,0.26,79,0.59,0.4,0.93
261,Pua Hone,The Brothers Cazimero,classical,chill,0.2,119,0.41,0.4,0.44
262,Cavalleria Rusticana - O Lola ch'hai di latti la cammisa,Pietro Mascagni;Vincenzo Ciliberti,classical,sad,0.33,123,0.28,0.32,0.97
263,End Of All Hope,Nightwish,classical,confident,0.95,79,0.56,0.48,0.0
264,Je vous ai trouvé,Verney Pépin,classical,chill,0.12,67,0.54,0.48,0.99
265,Por la Cruz,Los Tecolines,classical,relaxed,0.47,119,0.73,0.67,0.78
266,Have Yourself a Merry Little Christmas,Andrea Bocelli;Matteo Bocelli;Virginia Bocelli,classical,sad,0.15,66,0.26,0.25,0.91
267,Reflection,Víkingur Ólafsson,classical,sad,0.02,104,0.27,0.43,0.99
268,Ave Maria,Mario Lanza,classical,melancholic,0.34,93,0.07,0.2,0.93
269,"La bohème, SC 67 / Act 2: ""Oh!...Essa!...Musetta!""",Giacomo Puccini;Luciano Pavarotti;Gianni Maffeo;Nicolai Ghiaurov;Rolando Panerai;Michel Sénéchal;Elizabeth Harwood;Schöneberger Sängerknaben;Chor der Deutschen Oper Berlin;Berliner Philharmoniker;Herbert von Karajan,classical,sad,0.37,81,0.24,0.33,0.97
270,Dance of the Blessed Spirits,Henrik Janson,classical,chill,0.15,73,0.54,0.8,0.95
271,Lille fugl,Jacob David,classical,melancholic,0.18,45,0.18,0.38,0.92
272,Movimento perpétuo,Carlos Paredes,classical,happy,0.64,154,0.96,0.27,0.77
273,"Christmas Medley: Jingle Bells Rock / Let It Snow, Let It Snow, Let It Snow / It's The Most Wonderful Time Of The Year",Il Volo,classical,chill,0.59,130,0.58,0.43,0.64
274,"God Rest Ye, Merry Gentlemen",Kenny Burrell,classical,chill,0.47,51,0.62,0.33,0.94
275,"Requiem: XVI. Libera Me, Dies Irae, Requiem Aeternam",Giuseppe Verdi;Sir Colin Davis;Christine Brewer;London Symphony Orchestra,classical,melancholic,0.04,81,0.04,0.18,0.93
276,"Carnaval, Op. 9: No. 16, Valse allemande (Live in Japan, 2022)",Robert Schumann;Pavel Nersessian,classical,chill,0.15,100,0.53,0.56,0.99
277,Love Is Mystical,Cold War Kids,classical,confident,0.86,106,0.72,0.57,0.0
278,"Brandenburg Concerto No. 3 in G, BWV 1048: 1. (Allegro)",Johann Sebastian Bach;Berliner Philharmoniker;Herbert von Karajan,classical,dreamy,0.3,84,0.8,0.51,0.99
279,Hold My Hand,The Piano Lover,classical,melancholic,0.03,175,0.14,0.32,0.99
280,Let The Four Winds Blow - Remastered 2002,Fats Domino,classical,relaxed,0.49,91,0.96,0.59,0.54
281,"Lyric Pieces I, Op. 12 (Excerpts): No. 4, Alfedans",Edvard Grieg;Una Bourne,classical,sad,0.32,89,0.25,0.38,0.99
282,"12 Variations in B-Flat Major, K. 500",Wolfgang Amadeus Mozart;Ingrid Haebler,classical,sad,0.1,112,0.35,0.42,0.99
283,Palomita Encantadora,Trio Ayacucho,classical,chill,0.53,65,0.65,0.67,0.82
